,Student_ID,Age,Hours_of_Screen_Time,Hours_of_Sleep,Daily_Study_Hours,Physical_Activity,Mental_Clarity_Score,Mood,
,S1000,17,4.8,6.7,1.8,15,8,Happy,
,S1001,16,5,7.2,1.6,5,9,Happy,
,S1002,20,7.9,4.3,0.7,0,5,Stressed,
,S1003,19,12,6.1,0.9,73,9,Neutral,
,S1004,19,6.9,7.6,4.1,76,8,Neutral,
,S1005,18,3.5,4.5,5,50,4,Neutral,
,S1006,17,7.4,7.9,4.2,68,10,Happy,
,S1007,24,5.5,4,0.2,70,3,Neutral,
,S1008,17,7.5,6.8,5,10,9,Stressed,
,S1009,25,7.4,8.6,2,39,6,Happy,
,S1010,22,6.6,6,0.5,26,6,Happy,
,S1011,16,5.2,8.7,1.5,44,8,Happy,
,S1012,16,3.9,8.4,2.1,27,5,Happy,
,S1013,17,9,6.4,3.1,52,10,Stressed,
,S1014,19,7.7,5,4.1,82,9,Happy,
,S1015,19,4.3,8.8,1.6,65,3,Happy,
,S1016,24,9.8,5.6,5.9,18,2,Stressed,
,S1017,25,2.4,7.2,0.2,20,9,Neutral,
,S1018,16,9.4,8.5,2.4,23,3,Stressed,
,S1019,24,9.1,4.4,2.7,28,8,Neutral,
,S1020,19,10.1,6.9,4.5,78,5,Happy,
,S1021,24,5.9,6.7,1.5,32,5,Happy,
,S1022,22,8.6,7.6,2.8,24,9,Happy,
,S1023,19,10.2,8.7,4.8,14,6,Stressed,
,S1024,23,11.8,8.6,0.8,23,8,Neutral,
,S1025,25,7,4.9,0.1,85,1,Neutral,
,S1026,20,2.4,8.4,5,72,9,Stressed,
,S1027,16,7,4.9,5.9,6,7,Stressed,
,S1028,18,7.9,8.6,0.8,70,3,Neutral,
,S1029,22,10.7,9,4.9,59,1,Stressed,
,S1030,21,10.7,6,2.2,82,10,Happy,
,S1031,20,6.4,6.5,3.8,70,6,Neutral,
,S1032,18,7.3,8.7,3.9,9,10,Stressed,
,S1033,19,6.6,8.8,3.5,37,4,Neutral,
,S1034,21,9.2,8.6,1.6,85,6,Stressed,
,S1035,17,6.1,8.4,4.9,8,2,Neutral,
,S1036,17,8.5,4,0.1,32,9,Neutral,
,S1037,22,3.5,6.8,0.4,12,7,Neutral,
,S1038,17,6.7,4.5,5.4,25,4,Happy,
,S1039,21,11.7,8.9,2.7,74,9,Happy,
,S1040,21,5.4,5.4,0.8,62,8,Neutral,
,S1041,25,8.9,8.9,5.4,42,9,Stressed,
,S1042,20,8.5,6.7,5,45,3,Happy,
,S1043,16,10.5,6.5,2,16,10,Stressed,
,S1044,23,10.5,8.7,0.3,85,5,Neutral,
,S1045,24,10.6,8.3,2.8,83,6,Stressed,
,S1046,17,5.8,6.3,1,30,7,Happy,
,S1047,22,5.2,5,3.4,12,6,Stressed,
,S1048,17,9.2,4.6,4.9,36,2,Stressed,
,S1049,24,9.6,4.8,2.4,79,2,Neutral,
,S1050,20,10.7,6.3,0.2,8,9,Neutral,
,S1051,25,2.4,5.3,4.1,24,2,Stressed,
,S1052,21,2.7,4.9,1,40,1,Stressed,
,S1053,25,8.3,7.7,1.3,62,3,Neutral,
,S1054,19,11.2,8,1.1,57,3,Happy,
,S1055,17,12,6.8,1.7,42,1,Happy,
,S1056,16,9.5,7.8,5.3,78,4,Stressed,
,S1057,19,6.3,4.9,0.2,84,2,Neutral,
,S1058,20,3,8.3,3.7,39,8,Stressed,
,S1059,17,8.3,8.5,1.5,88,4,Neutral,
,S1060,19,10.7,8.1,1.8,74,2,Happy,
,S1061,17,6.4,6.6,2.5,19,1,Stressed,
,S1062,22,8.9,4.4,3.3,72,10,Neutral,
,S1063,20,11,7.3,0.4,72,7,Stressed,
,S1064,23,2.5,4.9,1.7,46,8,Happy,
,S1065,21,10,4.7,0.8,40,9,Happy,
,S1066,18,4.9,5.6,1.2,54,10,Stressed,
,S1067,21,5.7,5.2,5.3,21,10,Stressed,
,S1068,21,3.5,5.3,3.2,0,5,Stressed,
,S1069,19,7.3,5.2,3.8,40,1,Neutral,
,S1070,20,7.7,7.8,4.8,31,6,Neutral,
,S1071,17,9.9,8.8,4.8,28,4,Stressed,
,S1072,25,3.7,5.5,5.9,82,10,Happy,
,S1073,18,2.8,7.6,4.7,55,2,Stressed,
,S1074,24,10.7,4.1,2.2,35,1,Stressed,
,S1075,19,8.2,7.3,3.3,46,4,Happy,
,S1076,18,4.4,7.5,2.9,17,8,Happy,
,S1077,23,11.1,4.3,5.5,86,2,Neutral,
,S1078,22,3.4,4.6,3,42,8,Stressed,
,S1079,20,6.6,5.5,2.3,61,1,Stressed,
,S1080,24,4.5,6,1.1,59,6,Stressed,
,S1081,19,4.6,6.5,1.9,57,9,Stressed,
,S1082,21,2.1,8.5,1.3,45,7,Happy,
,S1083,16,10,7.5,5.4,39,6,Stressed,
,S1084,19,11,5.6,4.7,62,1,Stressed,
,S1085,16,8.8,4.6,0.4,70,10,Stressed,
,S1086,21,3.6,8.6,5.9,13,5,Stressed,
,S1087,22,6.4,5.5,3.2,22,9,Neutral,
,S1088,20,5.5,7.1,4.6,82,1,Stressed,
,S1089,17,7.9,5.1,6,77,2,Happy,
,S1090,19,8.4,4.7,5.8,10,5,Neutral,
,S1091,25,6.2,4.8,0.6,35,2,Stressed,
,S1092,21,4.5,7.7,3.9,17,4,Happy,
,S1093,19,10.5,7,1.6,68,9,Neutral,
,S1094,23,4,6.1,4.9,25,2,Neutral,
,S1095,22,5.8,6.7,5.5,33,2,Stressed,
,S1096,23,6.8,6.4,0.3,80,4,Neutral,
,S1097,18,4.4,6.7,6,9,9,Stressed,
,S1098,20,7.7,7.3,1.3,9,7,Stressed,
,S1099,18,7.7,5.1,5.1,2,4,Neutral,
,S1100,19,11.9,5.2,4.8,64,4,Neutral,
,S1101,24,5,7.8,2.1,80,9,Neutral,
,S1102,24,11.8,8.4,5,3,4,Neutral,
,S1103,20,8.6,4.4,5.1,74,10,Neutral,
,S1104,25,4.7,6.2,1.1,74,3,Happy,
,S1105,22,7.7,7.5,3.6,51,9,Happy,
,S1106,25,8.9,4.4,4.8,75,9,Stressed,
,S1107,22,9.4,6.8,4.2,27,7,Stressed,
,S1108,21,2.5,4.3,5.5,4,2,Stressed,
,S1109,19,8.1,6.7,0.2,70,10,Neutral,
,S1110,18,7,6.5,4.2,33,6,Stressed,
,S1111,24,11,6.9,5.7,69,8,Stressed,
,S1112,23,4.9,4.7,3.4,69,7,Neutral,
,S1113,17,10,5.6,3.4,60,2,Happy,
,S1114,16,8.1,6.6,1.1,83,3,Stressed,
,S1115,17,5.5,4.6,5.9,19,3,Neutral,
,S1116,18,8.4,5,5.3,46,9,Stressed,
,S1117,18,8.2,6.9,3,50,7,Happy,
,S1118,22,8.8,4.5,1.9,28,9,Stressed,
,S1119,25,9.2,6.6,2.9,75,6,Happy,
,S1120,17,8.6,8,0.5,37,3,Stressed,
,S1121,22,10.4,6.3,1.4,17,9,Neutral,
,S1122,22,8.3,6.6,1.3,59,10,Stressed,
,S1123,25,11,6.3,3.2,64,8,Stressed,
,S1124,23,8.5,4.3,0,65,6,Happy,
,S1125,24,5.1,6.3,5.5,11,6,Neutral,
,S1126,20,6.4,8,1.2,50,9,Neutral,
,S1127,24,7.8,7.6,0.8,46,6,Happy,
,S1128,16,9.3,6,4.3,64,6,Happy,
,S1129,17,2.9,8.1,5.5,1,7,Stressed,
,S1130,24,5,7.7,5.1,84,7,Happy,
,S1131,20,9.5,6.9,1.9,30,6,Neutral,
,S1132,21,3.8,4.2,0.1,78,10,Neutral,
,S1133,17,3.3,5.7,3.5,87,4,Happy,
,S1134,20,7.4,4.3,5.5,21,10,Stressed,
,S1135,22,11.7,9,4.6,65,9,Neutral,
,S1136,18,7.3,8.7,5.1,17,4,Neutral,
,S1137,23,11.1,4.3,5.2,57,7,Neutral,
,S1138,16,10.3,8.7,5.8,20,9,Happy,
,S1139,20,4.6,4.2,2.2,22,5,Stressed,
,S1140,24,10.2,6,5.7,72,6,Happy,
,S1141,18,6.8,7.8,2.4,72,8,Stressed,
,S1142,24,10.1,7.8,0.6,84,8,Happy,
,S1143,17,9.5,8.9,1.8,18,7,Stressed,
,S1144,20,5.4,7.2,0.8,61,1,Stressed,
,S1145,24,3.2,6.1,0.9,45,1,Happy,
,S1146,25,11.6,9,5.7,5,5,Stressed,
,S1147,19,3.4,5.9,4.8,28,10,Neutral,
,S1148,18,11.7,8.3,5.8,62,1,Neutral,
,S1149,21,10.6,8.5,3.9,29,9,Happy,
,S1150,18,9.2,5.9,1,8,3,Neutral,
,S1151,24,11.8,7.4,5.8,33,5,Stressed,
,S1152,24,11.7,7.3,4.2,47,1,Happy,
,S1153,16,10,6.7,5.6,29,5,Neutral,
,S1154,25,5.7,7.3,4.7,5,4,Happy,
,S1155,21,9.9,5.7,1.3,85,4,Stressed,
,S1156,23,2.1,4.9,3.5,26,6,Happy,
,S1157,16,7.4,6.7,1.1,66,1,Neutral,
,S1158,17,6.5,6.6,1.8,46,5,Happy,
,S1159,21,8.7,7.6,4.1,49,9,Happy,
,S1160,20,8.7,5.1,0.8,60,9,Stressed,
,S1161,19,7.8,4,4.4,58,9,Happy,
,S1162,16,10.2,4.1,5.7,5,10,Neutral,
,S1163,19,11.4,5.5,5.7,5,10,Neutral,
,S1164,25,3.1,7.4,2.3,83,3,Neutral,
,S1165,17,4.3,6.7,6,41,2,Happy,
,S1166,17,2.3,6.7,5.8,13,1,Stressed,
,S1167,23,10.8,8.1,0.2,90,8,Neutral,
,S1168,17,7.6,5.2,3.6,66,6,Stressed,
,S1169,24,11.2,5.7,5.5,81,3,Stressed,
,S1170,18,4.2,5.4,5.8,35,3,Happy,
,S1171,18,2.6,8.7,1.3,33,5,Happy,
,S1172,23,10.2,7.6,3.4,74,6,Stressed,
,S1173,24,11.1,4.6,5.6,69,10,Stressed,
,S1174,18,5,8,0.8,72,4,Neutral,
,S1175,20,6.1,6.1,4.5,22,4,Happy,
,S1176,24,3.4,7.8,1.4,48,5,Stressed,
,S1177,25,11.5,8.4,5.9,83,5,Neutral,
,S1178,22,5,4.1,1,48,2,Happy,
,S1179,19,6.9,5,5.3,46,10,Happy,
,S1180,24,3,4.5,0.5,75,7,Happy,
,S1181,19,10.9,4.2,4.3,83,10,Neutral,
,S1182,20,3.4,7,3.8,9,4,Neutral,
,S1183,22,6.5,7.5,5.3,66,2,Neutral,
,S1184,21,8.7,4.2,2.7,32,6,Neutral,
,S1185,23,9.4,7.7,1.6,48,8,Neutral,
,S1186,24,11.5,6,1.5,28,3,Stressed,
,S1187,23,6.2,5.2,0.4,66,8,Stressed,
,S1188,17,9.4,5.1,1.5,51,10,Happy,
,S1189,19,3.5,8.3,0.6,45,2,Neutral,
,S1190,19,6.1,4.3,0,44,10,Stressed,
,S1191,17,3,6.5,2.3,62,5,Stressed,
,S1192,21,6.9,5.4,4.4,61,1,Neutral,
,S1193,16,6.1,8.1,5.8,77,10,Neutral,
,S1194,25,11.5,7.7,5.3,0,7,Neutral,
,S1195,24,2.3,5.6,3,64,2,Happy,
,S1196,19,5.7,7,2.3,17,1,Stressed,
,S1197,25,6.4,7.4,3.3,56,6,Neutral,
,S1198,19,11.5,5.6,0.6,21,6,Happy,
,S1199,16,10.6,5.5,2.9,29,7,Neutral,
,S1200,17,3,4.7,5.2,9,7,Neutral,
,S1201,16,8.9,7.3,3.9,65,2,Neutral,
,S1202,19,7.4,5.1,4.1,82,4,Stressed,
,S1203,17,11.8,5.5,1,35,10,Neutral,
,S1204,16,5.6,4.3,0.4,27,1,Stressed,
,S1205,21,6,8.7,5.1,19,7,Stressed,
,S1206,17,3.9,8.4,1.8,23,1,Happy,
,S1207,24,3.2,8.6,1.9,20,5,Happy,
,S1208,19,10.5,7.1,5.7,46,9,Stressed,
,S1209,20,6.5,6.1,0.4,77,1,Stressed,
,S1210,23,8.6,6.5,1,15,6,Neutral,
,S1211,19,8.4,8.9,2.3,84,9,Neutral,
,S1212,24,8,8.7,4.4,29,10,Stressed,
,S1213,18,2.2,7.4,3.3,53,3,Stressed,
,S1214,25,9.9,7.9,5.4,42,6,Neutral,
,S1215,25,4.4,5.6,0.6,14,9,Neutral,
,S1216,23,3.3,6.1,3.6,61,4,Neutral,
,S1217,19,7.6,4.7,3.7,86,3,Neutral,
,S1218,23,2.7,5.9,2.9,61,1,Happy,
,S1219,22,9.7,7.8,0.2,61,7,Neutral,
,S1220,19,4.1,6.4,5.7,26,8,Stressed,
,S1221,17,4.2,8.2,1,75,10,Stressed,
,S1222,17,10.7,5.5,5.3,20,10,Neutral,
,S1223,22,5.3,7.5,0.9,82,9,Neutral,
,S1224,21,3.5,8,0.6,52,2,Stressed,
,S1225,22,11,8.6,1.2,2,4,Stressed,
,S1226,22,2,6.8,1.1,31,7,Happy,
,S1227,23,10.6,8.8,4.2,5,5,Stressed,
,S1228,16,3.4,6.8,4.3,16,7,Stressed,
,S1229,17,3.3,4.7,4.4,73,3,Stressed,
,S1230,16,4.5,5.2,1.6,75,3,Happy,
,S1231,22,3.7,5,1.7,20,6,Stressed,
,S1232,21,8.6,7.2,1.4,17,2,Neutral,
,S1233,17,2.3,8.6,0.3,80,8,Stressed,
