stress_level,hours_of_sleep,Age,Hours_of_Screen_Time,Physical_Activity,Gender,study_load,exam_session
High,6.9,18,9.0,Moderate,Female,2.5,No Exam
Low,5.0,20,5.8,Moderate,Male,7.2,No Exam
Normal,7.6,20,3.8,Low,Female,6.6,No Exam
Low,5.8,21,3.7,Low,Male,5.8,No Exam
High,4.0,20,5.7,High,Male,2.1,Exam
Normal,8.4,23,8.1,Moderate,Female,3.6,No Exam
Normal,8.2,19,5.9,Low,Female,3.3,No Exam
Low,3.5,18,6.4,Moderate,Male,4.7,No Exam
High,5.7,23,4.0,Low,Male,4.5,Nearing
Low,5.6,19,8.0,Low,Male,3.0,No Exam
High,9.0,22,3.7,Moderate,Male,5.7,Exam
High,6.4,24,5.0,Low,Female,5.5,Exam
Low,4.3,21,7.3,Low,Male,3.5,No Exam
Normal,7.8,20,1.9,High,Female,5.6,No Exam
High,4.7,22,6.3,Low,Female,7.2,Nearing
High,6.1,20,3.9,Low,Male,7.9,Nearing
Normal,5.3,23,6.0,High,Female,6.0,Nearing
Very High,5.7,18,5.3,Moderate,Male,5.9,Exam
Normal,7.9,18,10.2,Moderate,Female,4.5,No Exam
Normal,8.8,18,5.2,High,Female,7.1,No Exam
High,4.6,20,9.7,Low,Male,2.9,Nearing
High,7.4,22,7.2,Moderate,Female,6.8,No Exam
Normal,5.4,18,4.4,Moderate,Female,4.4,Nearing
High,5.4,22,6.7,High,Male,8.0,Exam
Very High,7.2,20,5.4,Moderate,Female,6.2,Exam
Normal,5.0,23,6.5,Moderate,Female,4.9,No Exam
Low,7.2,22,4.6,Low,Male,4.5,No Exam
Normal,7.6,23,9.4,Low,Male,6.1,No Exam
High,5.9,20,7.9,Moderate,Female,6.0,No Exam
High,8.5,20,6.1,Moderate,Female,4.2,Nearing
High,4.6,21,9.5,Moderate,Female,5.2,Nearing
Very High,8.5,20,6.1,Low,Male,6.8,Exam
Low,3.6,20,8.2,Moderate,Female,2.3,No Exam
Low,10.0,19,6.1,Moderate,Female,6.5,No Exam
Normal,5.9,18,6.8,High,Female,6.0,No Exam
Very High,4.8,21,5.8,Moderate,Female,7.4,Exam
Normal,6.2,24,6.2,High,Female,3.6,Nearing
Normal,4.9,21,6.3,High,Female,5.0,No Exam
High,7.1,21,4.7,Moderate,Male,5.4,Nearing
Normal,8.6,24,5.2,Moderate,Male,6.5,No Exam
Very High,5.0,19,5.6,High,Female,5.9,Exam
High,7.4,23,6.5,Moderate,Female,2.5,Nearing
Very High,4.2,20,5.9,High,Male,5.6,Exam
High,8.0,18,8.3,Moderate,Male,9.0,Nearing
Normal,7.1,22,7.7,Moderate,Male,6.2,No Exam
High,8.1,24,5.6,Low,Female,8.3,Exam
High,6.3,23,8.8,Low,Female,7.1,Exam
Low,5.8,24,9.7,High,Female,7.7,No Exam
High,7.7,20,1.9,Moderate,Female,5.6,Exam
High,4.5,19,7.9,Moderate,Male,6.0,Exam
Low,3.9,24,4.6,High,Male,5.5,No Exam
Normal,6.5,20,7.6,Moderate,Male,5.0,No Exam
Normal,5.9,20,8.5,Moderate,Male,6.5,No Exam
Low,7.3,19,4.2,Moderate,Female,4.0,No Exam
High,8.1,21,2.3,Moderate,Female,8.8,Nearing
Normal,7.3,21,7.7,Low,Male,3.1,No Exam
Low,8.0,18,6.3,Low,Male,6.6,No Exam
High,7.0,18,2.7,Low,Male,7.8,No Exam
High,7.2,21,11.1,Low,Male,4.6,Nearing
Normal,6.3,23,7.2,Moderate,Male,2.8,No Exam
High,7.2,22,7.3,Low,Female,7.3,Exam
High,6.7,20,8.7,Low,Female,5.4,Nearing
Normal,7.0,22,4.8,Low,Male,6.6,No Exam
Normal,6.2,20,6.3,Low,Male,4.8,No Exam
High,7.7,21,3.4,Moderate,Male,8.5,Nearing
Low,5.4,18,4.8,High,Female,1.0,No Exam
Low,6.5,23,6.8,Moderate,Female,5.8,No Exam
